stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3,920003,"AKERS MILL RD + CUMBERLAND MALL ENTRANCE",,33.879139,-84.464660,,,,,,0
4,920004,"CUMBERLAND TRANSFER CENTER",,33.878192,-84.470052,,,,,,0
5,920005,"CUMBERLAND BLVD + SPRING HILL PKWY",,33.881341,-84.474656,,,,,,0
6,920006,"SPRING RD + CUMBERLAND BLVD",,33.884320,-84.474393,,,,,,0
7,920007,"COBB PKWY + WINDY RIDGE PKWY",,33.889173,-84.474429,,,,,,0
8,920008,"COBB PKWY + HERODIAN WAY",,33.891985,-84.477051,,,,,,0
10,920010,"COBB PKWY + KENWOOD CREEK",,33.895461,-84.480275,,,,,,0
11,920011,"COBB PKWY + LAKE PARK DR",,33.898112,-84.482741,,,,,,0
12,920012,"COBB PKWY + ED VOYLES HONDA",,33.900788,-84.485218,,,,,,0
13,920013,"COBB PKWY + WINDY HILL RD",,33.903622,-84.487816,,,,,,0
14,920014,"COBB PKWY + TERRELL MILL RD",,33.906234,-84.490296,,,,,,0
15,920015,"COBB PKWY + AIRPORT INDUSTRIAL PARK DR",,33.907798,-84.491697,,,,,,0
16,920016,"COBB PKWY + CUMBERLAND POINT DR",,33.909978,-84.493755,,,,,,0
17,920017,"COBB PKWY + AFTER CUMBERLAND PT DR",,33.911318,-84.494970,,,,,,0
18,920018,"COBB PKWY + DAVIS LN",,33.913177,-84.496669,,,,,,0
19,920019,"COBB PKWY + FRANKLIN RD",,33.915345,-84.498672,,,,,,0
20,920020,"COBB PKWY + FRANKLIN DR",,33.917848,-84.501013,,,,,,0
21,920021,"COBB PKWY + SPINKS DR",,33.924089,-84.506014,,,,,,0
22,920022,"COBB PKWY + WYLIE RD",,33.927752,-84.508009,,,,,,0
23,920023,"COBB PKWY + BARCLAY CIR",,33.929795,-84.509080,,,,,,0
24,920024,"COBB PKWY + AFTER BARCLAY CIRCLE",,33.931709,-84.510100,,,,,,0
25,920025,"COBB PKWY + NEW HOPE RD",,33.935876,-84.512393,,,,,,0
26,920026,"COBB PKWY + AMF MARIETTA LANES",,33.938208,-84.513651,,,,,,0
27,920027,"S MARIETTA PKWY + MARTIN CT",,33.942509,-84.519031,,,,,,0
28,920028,"S MARIETTA PKWY + LOCKHEED AVE",,33.941611,-84.522803,,,,,,0
29,920029,"S MARIETTA PKWY + LAKE DR",,33.941002,-84.525803,,,,,,0
30,920030,"MARIETTA TRANSFER CENTER",,33.941682,-84.529481,,,,,,0
31,920031,"S MARIETTA PKWY + HUDSON RD",,33.940698,-84.524690,,,,,,0
32,920032,"S MARIETTA PKWY + ROSSBACHER WAY",,33.941607,-84.522289,,,,,,0
33,920033,"S MARIETTA PKWY + TECHNOLOGY PKWY",,33.942236,-84.518214,,,,,,0
34,920034,"COBB PKWY + S MARIETTA PKWY",,33.939729,-84.514808,,,,,,0
35,920035,"COBB PKWY + LIFE'S WAY",,33.935024,-84.512218,,,,,,0
36,920036,"COBB PKWY + FORMER TEAM NISSAN",,33.932489,-84.510817,,,,,,0
37,920037,"COBB PKWY + WYLIE RD",,33.928021,-84.508456,,,,,,0
38,920038,"COBB PKWY + SPINKS DR",,33.924052,-84.506339,,,,,,0
39,920039,"COBB PKWY + FRANKLIN DR",,33.918986,-84.502400,,,,,,0
40,920040,"COBB PKWY + FRANKLIN DR",,33.917158,-84.500727,,,,,,0
41,920041,"COBB PKWY + FRANKLIN RD",,33.914991,-84.498727,,,,,,0
42,920042,"COBB PKWY + ENTERPRISE WAY",,33.912661,-84.496551,,,,,,0
43,920043,"COBB PKWY + CUMBERLAND POINT DR",,33.910004,-84.494111,,,,,,0
44,920044,"COBB PKWY + AIRPORT INDUSTRIAL PARK DR",,33.907637,-84.491941,,,,,,0
45,920045,"COBB PKWY + CASWELL PKWY",,33.906958,-84.491324,,,,,,0
46,920046,"COBB PKWY + TERRELL MILL RD",,33.905177,-84.489630,,,,,,0
47,920047,"COBB PKWY + WINDY HILL RD",,33.901550,-84.486320,,,,,,0
48,920048,"COBB PKWY + STEVE RAYMAN CHEVROLET",,33.900247,-84.485125,,,,,,0
49,920049,"COBB PKWY + LAKE PARK DR",,33.897861,-84.482928,,,,,,0
50,920050,"COBB PKWY + 2330 COBB APARTMENT HOMES",,33.895007,-84.480249,,,,,,0
51,920051,"COBB PKWY + HARGROVE RD",,33.891794,-84.477325,,,,,,0
52,920052,"COBB PKWY + CUMBERLAND PKWY",,33.889528,-84.475260,,,,,,0
54,920054,"SPRING RD + COBB PKWY",,33.885680,-84.472797,,,,,,0
55,920055,"CUMBERLAND BLVD + SPRING HILL PKWY",,33.880431,-84.473949,,,,,,0
56,920056,"AKERS MILL RD + THE CROSSINGS AT AKERS MILL",,33.879340,-84.464359,,,,,,0
62,920062,"POWERS FERRY RD + CUSTOM SIGNS BUILDING",,33.908492,-84.465270,,,,,,0
63,920063,"WINDY HILL RD + POWERS FERRY RD",,33.905200,-84.466151,,,,,,0
64,920064,"WINDY HILL RD + S PARK PL",,33.901140,-84.477329,,,,,,0
65,920065,"WINDY HILL RD + S PARK PL",,33.901405,-84.479352,,,,,,0
66,920066,"WINDY HILL RD + VENLO AVE",,33.903744,-84.483656,,,,,,0
67,920067,"WINDY HILL RD + COBB PKWY",,33.903486,-84.486145,,,,,,0
68,920068,"WINDY HILL RD + CHRIS VOLVO",,33.901815,-84.489663,,,,,,0
69,920069,"WINDY HILL RD + ROSWELL ST",,33.896390,-84.498935,,,,,,0
70,920070,"WINDY HILL RD + ATLANTA RD",,33.894477,-84.521588,,,,,,0
71,920071,"WINDY HILL RD + BELMONT CIR",,33.894437,-84.525831,,,,,,0
72,920072,"WINDY HILL RD + SAN FERNANDO DR",,33.894569,-84.532642,,,,,,0
73,920073,"WINDY HILL RD + OLD CONCORD RD",,33.894646,-84.540567,,,,,,0
74,920074,"WINDY HILL RD + WAKITA DR",,33.894741,-84.547232,,,,,,0
75,920075,"WINDY HILL RD + BOULDERCREST DR",,33.894836,-84.550689,,,,,,0
76,920076,"WINDY HILL RD + LAROSE DR",,33.894904,-84.555667,,,,,,0
77,920077,"WINDY HILL RD + KENNEDY LN",,33.894985,-84.563586,,,,,,0
78,920078,"WINDY HILL RD + BEVERLY LN",,33.895179,-84.572018,,,,,,0
79,920079,"AUSTELL RD + ARKOSE DR",,33.896503,-84.575211,,,,,,0
80,920080,"COUNTY SERVICES PKWY + KURT DR",,33.899230,-84.573930,,,,,,0
81,920081,"COUNTY SERVICES PKWY + AL BISHOP DR",,33.904023,-84.581810,,,,,,0
82,920082,"COUNTY SERVICES PKWY + COBB CO COMPOSTING FACILITY",,33.909617,-84.582165,,,,,,0
83,920083,"COUNTY SERVICES PKWY + COBB COUNTY HEALTH DEPT",,33.912412,-84.581897,,,,,,0
84,920084,"COUNTY SERVICES PKWY + DEPARTMENT OF MOTOR VEHICLES",,33.914560,-84.582035,,,,,,0
85,920085,"POWDER SPRINGS RD + CUNNINGHAM RD",,33.921592,-84.578512,,,,,,0
86,920086,"POWDER SPRINGS RD + BELLEMEADE DR",,33.923763,-84.575328,,,,,,0
87,920087,"POWDER SPRINGS RD + NATCHEZ TRACE",,33.925107,-84.573437,,,,,,0
88,920088,"POWDER SPRINGS RD + LONGWOOD DR",,33.927403,-84.569990,,,,,,0
89,920089,"POWDER SPRINGS ST + BOOTH RD",,33.931112,-84.563939,,,,,,0
90,920090,"POWDER SPRINGS ST + SPRINGS LANDING APTS",,33.933006,-84.560707,,,,,,0
91,920091,"POWDER SPRINGS ST + CHESTNUT HILL RD",,33.934022,-84.559015,,,,,,0
92,920092,"POWDER SPRINGS ST + SANDTOWN RD",,33.935305,-84.556875,,,,,,0
93,920093,"POWDER SPRINGS ST + GARRISON RD",,33.938205,-84.553680,,,,,,0
94,920094,"POWDER SPRINGS ST + W GRAMLING ST",,33.940084,-84.552229,,,,,,0
95,920095,"POWDER SPRINGS ST + W DIXIE AVE",,33.941648,-84.551918,,,,,,0
96,920096,"POWDER SPRINGS ST + HEDGES ST",,33.942807,-84.551670,,,,,,0
97,920097,"POWDER SPRINGS ST + GRIGGS ST",,33.944399,-84.551139,,,,,,0
99,920099,"ROSWELL ST + ANDERSON ST",,33.951634,-84.547073,,,,,,0
100,920100,"ROSWELL ST + COLE ST",,33.950386,-84.543554,,,,,,0
101,920101,"FAIRGROUND ST + PIERCE ST",,33.949281,-84.536036,,,,,,0
102,920102,"FAIRGROUND ST + FRASIER ST",,33.947025,-84.535882,,,,,,0
104,920104,"S MARIETTA PKWY + PARKWAY PLAZA",,33.943044,-84.532894,,,,,,0
105,920105,"FAIRGROUND ST + S MARIETTA PKWY",,33.944133,-84.535071,,,,,,0
