stop_id,stop_name,stop_desc,stop_lat,stop_lon,wheelchair_boarding,stop_code
10900 Medlock Bridge Rd (S),GA 141 (S) at Skyway Dr,,34.045822,-84.179349,0,400401
11445 Johns Creek Pkwy (S),Johns Creek Pkwy (S) before Lakefield Dr North,,34.061036,-84.165776,0,400402
17th St @ Market St,17th St at Market St,,33.791328,-84.394773,0,901242
17th St just before Spring St,17th St just before Spring St,,33.79197,-84.388937,0,901241
5510 Spalding Dr (S),Spalding Dr (W) at GA 141,,33.969989,-84.223192,0,400403
5515 Spalding Dr (N),Spalding Dr (E) at GA 141,,33.970233,-84.223106,0,400404
5664 Peachtree Parkway (N),GA 141 (N) before Scientific Dr,,33.963752,-84.224531,0,400405
6155 Peachtree Parkway (S),GA 141 (S) before Holcomb Bridge Rd,,33.951352,-84.23486,0,400406
Across from 11315 Johns Creek Pkwy (N),Johns Creek Pkwy (N) after Lakefield Dr South,,34.055983,-84.169842,0,400407
Acworth P&R,Acworth Park and Ride,,34.077261,-84.65646,0,400001
Baker St @ Peachtree St,Baker St at Peachtree St,SunTrust Plaza,33.762345,-84.387038,0,600001
Baker St @ Williams St,Baker St at Williams St,,33.762354,-84.390278,0,400110
BrandsMart P&R,BrandsMart Park and Ride,,33.547073,-84.285489,0,400002
Canton P&R (Boling Park),Canton Park and Ride (Boling Park),,34.230143,-84.500621,0,400003
Central Ave (NB) @ MLK Jr Dr,Central Ave at MLK Jr Dr,,33.751048,-84.38966,0,400100
Central Ave @ Garnett St,Central Ave at Garnett St,,33.747591,-84.392123,0,102056
Central Ave @ Mitchell St,Central Ave at Mitchell St,City Hall,33.749429,-84.39075,0,102060
Central Ave @ Wall St,Central Ave at Wall St,Underground Atlanta,33.752426,-84.388379,0,600002
Chamblee MARTA Station,Chamblee MARTA Station,,33.888911,-84.304625,0,
Courtland @ Auburn Ave,Courtland at Auburn Ave,Louderrmilk Center,33.756244,-84.384356,0,210762
Courtland @ Ellis St,Courtland at Ellis St,across from Sheraton Hotel,33.758706,-84.384313,0,900781
Courtland St (SB) @ Gilmer St,Courtland St at Gilmer St,,33.753318,-84.385462,0,400112
Cumming P&R,Cumming Park and Ride,,34.181276,-84.142807,0,400004
Dacula P&R (Hebron Baptist Church),Dacula Park and Ride (Hebron Baptist Church),,33.998766,-83.907051,0,400005
Douglas Multi Modal Center P&R,Douglas Multi Modal Center Park and Ride,,33.7433,-84.72623,0,400006
Dunwoody MARTA,Douglas Multi Modal Center Park and Ride,,33.921364,-84.344273,0,400006
East Conyers P&R (Springfield Church),East Conyers Park and Ride (Springfield Church),,33.641241,-83.986841,0,400007
Edgewood Ave @ Peachtree Center Ave,Edgewood Ave at Peachtree Center Ave,,33.754523,-84.386166,0,400111
Forsyth St @ MLK Jr Dr,Forsyth St at MLK Jr Dr,across from Federal Center Annex,33.752319,-84.393743,0,600004
Forum @ 5555 Ptree Pkwy (S),GA 141 (S) before Forum Dr,,33.981076,-84.215666,0,400408
GA 141 @ Abbotts Br ShpCtr (N),GA 141 (N) before Abbotts Bridge Rd,,34.046721,-84.178164,0,400410
GA 141 @ Medlock Br Pkwy (N),GA 141 (N) at Medlock Bridge Pkwy,,34.029438,-84.186694,0,400411
GA 141 @ Medlock Br Pkwy (S),GA 141 (S) at Medlock Bridge Pkwy,,34.02926,-84.187117,0,400412
GA 141 @ Medlock Crossing ShpCtr (S),GA 141 (S) after State Bridge Rd,,34.017292,-84.190448,0,400413
GA 141 @ Parsons Rd (N),GA 141 (N) before Parsons Rd,,34.038722,-84.184798,0,400414
GA 141 @ Parsons Rd (S),GA 141 (S) before Parsons Rd,,34.040249,-84.18452,0,400415
GA 141@ State Br Corners ShpCtr (N),GA 141 (N) before State Bridge Rd,,34.017145,-84.190027,0,400416
GA 141,GA 141 (N) after Town Center Blvd,Across from The Forum (N),33.980918,-84.215216,0,400409
Hamilton Mill P&R,Hamilton Mill Park and Ride,,34.075199,-83.921589,0,400008
Hampton P&R (Boothe's Crossing),Hampton Park and Ride (Boothe's Crossing),,33.381501,-84.299748,0,400009
HCA @ 5707 Peachtree Parkway (S),GA 141 (S) after Scientific Dr,,33.964197,-84.224773,0,400417
Hewatt Rd P&R,Hewatt Rd Park and Ride,,33.839356,-84.059862,0,400010
Hiram P&R,Hiram Park and Ride,,33.885264,-84.739201,0,400011
Ivan Allen @ Alexander St,Ivan Allen at Alexander St,Peachtree Summit Bldg,33.76494,-84.386791,0,400101
JC Pkwy @ Commerce Way (N),Johns Creek Pkwy (N) at Commerce Way,,34.071754,-84.165107,0,400418
JC Pkwy @ Commerce Way (S),Johns Creek Pkwy (S) at Commerce Way,,34.07152,-84.165187,0,400419
JC Pkwy @ E Johns Crossing (N),Johns Creek Pkwy (N) at East Johns Crossing,,34.06321,-84.164597,0,400420
JC Pkwy @ E Johns Crossing (S),Johns Creek Pkwy (S) at East Johns Crossing,,34.063521,-84.164779,0,400421
JC Pkwy @ Johns Creek Ct (N),Johns Creek Pkwy (N) at Johns Creek Ct,,34.068258,-84.161861,0,400422
JC Pkwy @ Johns Creek Ct (S),Johns Creek Pkwy (S) at Johns Creek Ct,,34.068614,-84.162473,0,400423
John Portman Blvd @ Peachtree St,John Portman Blvd at Peachtree St,Peachtree Center,33.760918,-84.387842,0,400102
John Portman Blvd just past Peachtree Center Ave,John Portman Blvd just past Peachtree Center Ave,,33.760942,-84.384443,0,600005
Johnson Ferry Rd at Hollis Cobb Dr,Johnson Ferry Rd at Trimble Rd,,33.907863,-84.355066,0,400311
Johnson Ferry Rd at Trimble Rd,Johnson Ferry Rd at Trimble Rd,,33.906751,-84.359871,0,400311
Jonesboro P&R,Jonesboro Park and Ride,,33.524295,-84.362083,0,400012
Lindbergh Center MARTA Station,Lindbergh Center MARTA Station,,33.821283,-84.368982,0,
Linden Avenue before West Peachtree St,Linden Avenue before West Peachtree,,33.76978,-84.38709,0,400216
Mall of Georgia P&R,Mall of Georgia Park and Ride,,34.067495,-83.982811,0,400013
McDonough P&R,McDonough Park and Ride,,33.416872,-84.181227,0,400014
Medical Center MARTA Station,Medical Center MARTA Station,,33.910867,-84.351482,0,
Mitchell St (EB) @ Forsyth St,Mitchell St at Forsyth St,,33.751781,-84.394529,0,400103
Mitchell St (EB) @ Peachtree St,Mitchell St at Peachtree St,,33.751066,-84.39323,0,102534
